date,close,open,high,low,amt,MA5,MA10,MA20,DIF,DEA,MACD,K,D,J,RSI,WR,WR1,BIAS1,BIAS2,BIAS3,PSY,PSYMA,CCI,ATR,BBI
20140210,120.78,121.82,122.18,118.96,3.99,122.76,122.425,116.1035,2.41,1.737,1.346,54.0337,66.0621,29.9769,34.677,59.284,84.511,-2.303,0.034,4.429,50,58.333,22.8349,3.7985,120.3407
20140211,121.86,120.73,123.25,120.09,4.73,121.82,123.067,116.7165,2.349,1.86,0.979,44.2494,58.7912,15.1658,36.086,55.695,71.372,-0.612,0.065,5.168,58.333,56.944,30.1148,3.8585,120.6402
20140212,121.96,122,122.7,121.19,2.12,121.3,123.066,117.387,2.282,1.944,0.676,38.0102,51.8642,10.3023,36.219,74.468,67.672,0.096,-0.31,4.974,58.333,55.556,25.6937,3.79,120.7757
20140213,123.34,121.85,125.81,121.83,4.24,121.932,123.21,118.1295,2.314,2.018,0.592,37.7657,47.1647,18.9677,38.074,62.723,36.058,1.398,0.278,5.759,58.333,55.556,53.2438,3.8435,121.2884
20140214,129.91,123.08,130,123.08,7.42,123.57,123.883,119.2035,2.837,2.182,1.31,58.2387,50.856,73.0041,45.891,6.809,0.815,5.394,5.055,10.595,58.333,56.944,132.5109,4.0815,122.7986
20140217,136.35,131,137.26,131,9.62,126.684,124.722,120.5715,3.727,2.491,2.473,70.5016,57.4046,96.6956,52.078,4.973,4.973,8.473,9.199,14.987,66.667,58.333,230.0309,4.3015,125.2504
20140218,133.65,135.85,135.85,132.84,3.7,129.042,125.431,121.74,4.168,2.826,2.683,73.7588,62.856,95.5645,49.597,19.727,21.025,4.541,6.294,11.725,58.333,59.722,163.0064,4.3455,127.156
20140219,135.94,133.68,138.16,133.68,3.46,131.838,126.569,123.139,4.648,3.191,2.914,78.6517,68.1212,99.7127,51.636,11.562,13.082,4.415,7.547,12.563,58.333,59.722,152.758,4.423,128.7612
20140220,135.45,135.91,137.8,134.55,2.55,134.26,128.096,124.3665,4.932,3.539,2.786,81.0629,72.4351,98.3186,51.174,14.115,16.595,2.273,6.535,11.121,58.333,59.722,124.5274,4.4165,129.7404
20140221,135.53,134.55,136.5,134.35,3.75,135.384,129.477,125.675,5.104,3.852,2.505,82.5238,75.798,95.9753,51.248,13.698,17.44,0.787,5.837,10.187,66.667,61.111,95.6832,4.409,130.9606
20140224,134.2,135.55,137.35,132.37,3.43,134.954,130.819,126.622,5.075,4.097,1.958,80.5708,77.3889,86.9344,49.929,21.915,55.307,-0.73,3.851,8.229,66.667,62.5,72.0101,4.3395,131.5232
20140225,129.43,134.55,134.91,128.18,5.09,134.11,131.576,127.3215,4.614,4.2,0.828,69.2272,74.6684,58.3449,45.542,51.444,87.475,-3.434,-0.336,3.634,58.333,61.111,25.4521,4.5235,131.0687
20140226,129.12,127.78,131.8,126.41,2.92,132.746,132.292,127.679,4.176,4.195,-0.039,59.5025,69.6131,39.2813,45.273,55.358,76.936,-3.12,-1.104,2.761,58.333,61.111,-0.0702,4.406,130.6089
20140227,131.77,129.23,132.54,127.29,2.82,132.01,133.135,128.1725,3.996,4.155,-0.319,54.874,64.7,35.2219,48.019,42.374,52.941,-0.613,0.291,4.097,58.333,61.111,10.1928,4.503,130.5625
20140228,136.38,131.82,137.09,131.77,4.61,132.18,133.782,128.8325,4.177,4.16,0.035,64.8664,64.7555,65.0881,52.359,15.149,8.867,2.743,2.859,6.995,58.333,61.111,65.6079,4.624,131.6458
20140303,140.85,136.36,140.9,134.85,5.37,133.51,134.232,129.477,4.628,4.254,0.75,76.4625,68.6578,92.072,56.07,0.345,0.345,5.407,5.074,9.591,58.333,59.722,111.6001,4.512,133.3709
20140304,139.46,138.29,144.81,138.18,5.6,135.516,134.813,130.122,4.818,4.366,0.904,74.6163,70.644,82.561,54.687,29.076,29.076,3.686,3.423,7.898,50,56.944,137.6658,4.639,134.5911
20140305,145.31,140.03,145.45,138.18,5.19,138.754,135.75,131.1595,5.379,4.569,1.62,82.8325,74.7068,99.0837,59.114,0.735,0.735,5.951,7.168,11.582,50,55.556,176.1294,4.7945,136.443
20140306,147.27,145.65,147.55,142.73,4.7,141.854,136.932,132.514,5.913,4.838,2.15,88.1135,79.1757,105.989,60.464,1.325,1.382,5.063,7.712,12.222,58.333,55.556,188.3694,4.762,138.3566
20140307,150.45,147.27,152,145.49,6.39,144.668,138.424,133.9505,6.518,5.174,2.688,90.0566,82.8027,104.5645,62.557,6.057,7.662,4.999,9.073,13.832,58.333,55.556,176.3694,4.9255,140.7122
20140310,142.67,149.82,150.73,140.03,5.5,145.032,139.271,135.045,6.297,5.398,1.797,81.2179,82.2744,79.1049,55.108,36.46,54.402,-1.154,2.984,7.401,58.333,55.556,87.8362,5.2995,141.1783
20140311,147.44,141.82,148.73,141,4.24,146.628,141.072,136.324,6.432,5.605,1.654,81.3272,81.9587,80.0643,58.286,17.819,32.996,1.38,5.67,10.2,58.333,55.556,87.6648,5.528,142.035
20140312,144.12,146.44,148.73,141.62,4.04,146.39,142.572,137.432,6.2,5.724,0.952,74.5675,79.495,64.7125,55.436,31.89,57.019,-1.429,2.682,6.922,58.333,56.944,66.2975,5.808,142.1853
20140313,149.88,143.27,150.09,142.83,4.69,146.912,144.383,138.759,6.407,5.861,1.093,78.9245,79.3048,78.1638,59.06,10.479,17.711,1.979,5.505,10.236,66.667,59.722,85.5348,5.972,143.7343
20140314,148.97,149.15,150.91,147.09,2.74,146.616,145.642,139.712,6.424,5.973,0.901,78.6414,79.0837,77.7569,58.279,17.668,25.313,1.165,3.657,8.628,66.667,61.111,89.7262,5.817,144.5845
20140317,151.34,150,151.51,147.28,3.54,148.35,146.691,140.4615,6.553,6.089,0.927,84.169,80.7788,90.9495,59.727,4.776,1.481,2.671,4.125,9.376,66.667,62.5,93.8023,5.661,145.8183
20140318,155.74,153,160.18,153,6.54,150.01,148.319,141.566,6.93,6.257,1.345,82.1011,81.2196,83.8642,62.264,20.182,23.149,4.117,5.976,11.423,66.667,63.889,165.3043,5.9275,147.5307
20140319,158.52,154.46,159.09,153.64,3.89,152.89,149.64,142.695,7.369,6.48,1.778,85.3213,82.5868,90.7904,63.769,8.238,8.944,4.683,6.797,12.235,66.667,65.278,159.2941,5.9745,149.4385
20140320,153.8,158.46,158.64,153.64,3.73,153.674,150.293,143.6125,7.252,6.634,1.235,79.66,81.6112,75.7577,59.561,31.663,36.772,0.496,2.79,8.131,66.667,66.667,115.9268,6.062,150.575
20140321,155.82,153.13,156.35,150.46,4.44,155.044,150.83,144.627,7.238,6.755,0.967,78.8627,80.6951,75.198,60.718,21.638,33.308,1.161,3.534,8.93,66.667,66.667,85.1034,6.249,151.3018
20140324,155.72,155.46,159.76,154.46,2.9,155.92,152.135,145.703,7.138,6.831,0.612,77.8984,79.7628,74.1695,60.629,23.253,34.574,0.363,2.985,8.165,58.333,65.278,104.3849,6.265,151.7947
20140325,151.65,153.09,153.09,141.45,6.86,155.102,152.556,146.814,6.653,6.796,-0.286,70.085,76.5369,57.1811,57.051,45.542,45.542,-2.293,0.227,4.861,50,62.5,-27.5367,6.642,151.9312
20140326,144.08,150.09,151.01,143.96,6.31,152.214,152.552,147.562,5.593,6.555,-1.924,51.4039,68.1592,17.8932,51.189,85.958,85.636,-5.993,-4.85,-0.621,50,59.722,-68.5804,6.757,150.6834
20140327,143.33,143.33,146.18,142.18,4.18,150.12,151.897,148.14,4.639,6.172,-3.066,37.615,57.9778,-3.1105,50.651,89.963,89.732,-4.912,-5.13,-1.359,41.667,55.556,-96.6666,6.6945,149.0769
20140328,138.76,143.47,144.54,137.28,5.31,146.708,150.876,148.259,3.474,5.632,-4.316,27.231,47.7289,-13.7648,47.478,93.537,93.416,-6.387,-7.883,-4.629,41.667,51.389,-141.5316,6.7915,147.2941
20140331,140.64,138.19,143.07,138.18,3.36,143.692,149.806,148.2485,2.672,5.04,-4.736,23.1362,39.5313,-9.654,48.853,85.328,85.053,-3.471,-6.155,-3.646,41.667,47.222,-121.1984,6.7335,146.1798
20140401,147.72,140.65,147.77,140.36,3.75,142.906,149.004,148.6615,2.578,4.548,-3.94,30.9046,36.6557,19.4022,53.626,53.559,33.966,2.325,-1.362,0.67,50,45.833,-57.2961,6.7725,146.2895
20140402,150.58,147.95,154.24,146.39,5.14,144.206,148.21,148.925,2.703,4.179,-2.952,40.3243,37.8786,45.2157,55.381,40.836,21.58,4.435,0.59,2.074,50,45.833,11.6399,6.8015,147.28
20140403,150.28,152.33,152.45,148.64,2.96,145.596,147.858,149.0755,2.746,3.893,-2.292,46.1592,40.6388,57.2001,55.152,42.171,23.349,3.486,0.696,1.472,41.667,44.444,10.8998,6.751,148.2655
20140404,149.15,149.68,150.27,146.36,2.55,147.674,147.191,149.0105,2.659,3.646,-1.974,54.1022,45.1266,72.0535,54.272,47.198,30.012,2.026,0.464,0.474,33.333,43.056,-13.8111,6.6215,148.4158
20140408,149.58,149.02,150.38,146.37,2.85,149.462,146.577,149.356,2.594,3.435,-1.682,60.2427,50.1653,80.3974,54.56,27.476,29.016,1.073,0.993,0.479,41.667,43.056,-4.1699,6.287,148.7817
20140409,148.5,150.02,151.48,147.39,2.38,149.618,146.262,149.409,2.428,3.234,-1.612,62.2137,54.1814,78.2782,53.675,33.844,41.354,-0.537,0.679,-0.336,33.333,41.667,11.6223,6.105,148.8216
20140410,154.1,148.43,155.47,145,5.96,150.322,147.264,149.908,2.717,3.131,-0.828,72.2986,60.2205,96.4548,57.414,7.532,13.085,2.484,4.571,3.225,41.667,40.278,62.8872,6.273,149.591
20140411,160.07,156.36,163.27,156.36,9.92,152.28,148.938,150.4175,3.388,3.182,0.412,77.281,65.9073,100.0284,60.924,12.312,17.515,5.346,8.107,6.937,50,40.278,197.377,6.3685,151.1633
20140414,158.51,158.82,161.19,157.27,2.95,154.152,150.913,150.8945,3.751,3.296,0.911,77.9284,69.9143,93.9564,59.585,18.972,26.054,3.386,6.191,5.43,50,41.667,171.7941,6.3735,152.7603
20140415,158.63,157.46,159.88,157.46,2.85,155.962,152.712,151.259,4.002,3.437,1.131,76.82,72.2162,86.0275,59.656,20.253,25.397,2.409,5.372,5.184,58.333,45.833,129.6128,6.283,153.9427
20140416,155.47,157.91,158.69,154.72,2.42,157.356,153.487,151.2455,3.902,3.53,0.743,70.3157,71.5827,67.7816,56.903,42.693,42.693,-0.263,2.326,2.766,58.333,48.611,81.6394,6.0395,154.1495
20140417,159.27,155.27,160,154.74,3.27,158.39,154.356,151.283,4.081,3.64,0.882,72.9125,72.026,74.6856,59.262,21.894,21.894,1.012,3.767,5.007,58.333,52.778,87.7881,6.03,155.0591
20140418,159.37,159.09,161.61,157.55,2.16,158.25,155.265,151.5615,4.184,3.749,0.869,74.8262,72.9594,78.5598,59.323,21.346,45.614,0.515,3.179,4.773,58.333,55.556,90.154,5.983,155.6527
20140421,156.41,158.19,159.98,156.36,2.02,157.83,155.991,151.591,3.98,3.795,0.369,70.7015,72.2067,67.691,56.695,37.548,75.472,-0.971,0.945,2.685,50,55.556,54.6184,5.8695,155.7073
20140422,156.48,156.36,159.21,155.93,2.46,157.4,156.681,151.629,3.78,3.792,-0.023,68.0794,70.831,62.5763,56.742,37.165,74.456,-0.714,0.655,2.71,58.333,56.944,41.2493,5.7685,155.5289
20140423,160.05,156.44,160.45,156.39,3.71,158.316,157.836,152.049,3.866,3.807,0.118,66.166,69.276,59.946,59.118,17.625,22.642,1.399,2.353,5.009,66.667,58.333,62.2265,5.258,155.9768
20140424,159.78,160.14,160.65,157.91,1.38,158.418,158.404,152.834,3.867,3.819,0.097,68.5906,69.0475,67.6767,58.863,40.819,26.638,0.769,1.628,4.661,58.333,58.333,64.7557,5.0105,156.846
20140425,149.72,152.71,152.73,147.08,10.55,156.488,157.369,153.1535,3.022,3.66,-1.275,51.7835,63.2928,28.7648,50.405,81.831,81.831,-4.618,-4.832,-1.765,58.333,58.333,-116.1625,5.4455,155.99
20140428,147.99,147.35,149.6,145.28,3.63,154.804,156.317,153.615,2.187,3.365,-2.356,40.0541,55.5466,9.069,49.138,83.405,82.368,-4.567,-5.626,-2.695,50,56.944,-151.5216,5.3045,154.499
20140429,148.72,148,150.44,147.7,3.08,153.252,155.326,154.019,1.566,3.005,-2.878,33.7246,48.2726,4.6285,49.695,78.934,77.619,-3.297,-4.585,-2.136,50,56.944,-126.3634,5.197,153.1214
20140430,148.98,149.05,149.35,147.76,2.11,151.038,154.677,154.082,1.083,2.621,-3.076,30.0356,42.1936,5.7196,49.898,77.342,75.927,-2.334,-3.929,-2.097,58.333,56.944,-118.0593,4.906,152.5645
20140505,145.68,148.64,148.64,142.8,4.04,148.218,153.318,153.837,0.428,2.182,-3.508,25.4019,36.5963,3.013,47.357,84.689,83.866,-2.974,-5.399,-4.327,50,54.167,-128.5614,4.8225,151.4422
20140506,146.17,145.46,147.91,145.46,1.5,147.508,151.998,153.6315,-0.05,1.736,-3.572,23.2278,32.1402,5.403,47.769,81.12,66.062,-1.154,-4.6,-4.199,58.333,54.167,-95.9301,4.7545,150.4175
20140507,146.05,146.92,146.92,145.09,1.32,147.12,150.962,153.4765,-0.434,1.302,-3.472,21.5543,28.6115,7.4398,47.674,81.793,57.461,-0.825,-3.988,-4.419,50,52.778,-86.9729,4.65,149.7062
20140508,146.06,146.18,147.72,145.84,1.62,146.588,149.92,153.3005,-0.729,0.896,-3.249,20.4573,25.8934,9.585,47.683,81.737,57.33,-0.601,-3.276,-4.369,50,52.778,-70.0896,4.5435,149.3362
20140509,146.02,146.05,147.55,145.73,1.84,145.996,148.517,153.1765,-0.955,0.526,-2.961,24.4472,25.4114,22.5188,47.648,81.961,50.84,-0.323,-2.745,-4.276,50,52.778,-64.0243,4.43,148.9637
20140512,146.28,147.54,147.55,145,2.88,146.116,147.167,152.7855,-1.101,0.2,-2.602,31.4814,27.4347,39.5747,47.904,64.955,40.411,0.162,-2.017,-4.001,50,51.389,-61.2255,4.034,148.5601
20140513,146.13,146.15,146.92,145.05,1.75,146.108,146.808,152.0885,-1.214,-0.083,-2.263,35.5164,30.1286,46.2919,47.764,56.414,61.168,0.008,-1.351,-4.02,41.667,50,-61.2402,3.669,148.1205
20140514,141.15,145.45,146.3,140.01,3.74,145.128,146.124,151.2205,-1.686,-0.403,-2.566,27.7461,29.3344,24.5695,43.357,89.07,85.214,-2.844,-3.704,-7.077,41.667,47.222,-121.6677,3.7875,146.9003
20140515,141.96,140.89,142.8,140.46,1.87,144.308,145.448,150.387,-1.972,-0.717,-2.511,26.0293,28.2327,21.6224,44.231,79.122,74.708,-1.826,-2.722,-6.376,50,47.222,-144.1749,3.7835,145.9999
