Baseline,Correlated,MIC
环保_denoised,纺织服饰_denoised,0.898647153531243
社会服务_denoised,食品饮料_denoised,0.8972883891985017
交通运输_denoised,纺织服饰_denoised,0.8926746030937532
环保_denoised,交通运输_denoised,0.8835843533021039
建筑装饰_denoised,交通运输_denoised,0.8826479201991307
商贸零售_denoised,纺织服饰_denoised,0.8772755203303306
电力设备_denoised,基础化工_denoised,0.8702210200397503
电力设备_denoised,食品饮料_denoised,0.8694179548443733
环保_denoised,商贸零售_denoised,0.866786379009393
商贸零售_denoised,交通运输_denoised,0.8585163774633028
建筑装饰_denoised,纺织服饰_denoised,0.8500098346558693
环保_denoised,建筑装饰_denoised,0.8435772228530867
汽车_denoised,基础化工_denoised,0.826530506836459
食品饮料_denoised,家用电器_denoised,0.8221943715098561
轻工制造_denoised,纺织服饰_denoised,0.8124812281994482
建筑装饰_denoised,商贸零售_denoised,0.8110523620359398
环保_denoised,公用事业_denoised,0.8063991735121324
环保_denoised,轻工制造_denoised,0.8045284720869419
商贸零售_denoised,轻工制造_denoised,0.7943588405900264
电力设备_denoised,汽车_denoised,0.7910717212816166
美容护理_denoised,社会服务_denoised,0.7906216080829157
房地产_denoised,纺织服饰_denoised,0.7902279323713497
电力设备_denoised,社会服务_denoised,0.7900602155560247
公用事业_denoised,纺织服饰_denoised,0.7882809949059212
机械设备_denoised,电力设备_denoised,0.787802359366734
商贸零售_denoised,房地产_denoised,0.7849677244329528
美容护理_denoised,食品饮料_denoised,0.7831055822036443
商贸零售_denoised,公用事业_denoised,0.7790670107554908
纺织服饰_denoised,食品饮料_denoised,0.7789646363083994
机械设备_denoised,综合_denoised,0.7782172013989782
有色金属_denoised,基础化工_denoised,0.775666149797093
房地产_denoised,交通运输_denoised,0.7712939302268477
汽车_denoised,有色金属_denoised,0.7686637594422775
环保_denoised,食品饮料_denoised,0.7661116139659632
交通运输_denoised,公用事业_denoised,0.7616729031208977
环保_denoised,传媒_denoised,0.761132225091952
机械设备_denoised,汽车_denoised,0.7605755545850268
建筑装饰_denoised,房地产_denoised,0.7596286826486286
社会服务_denoised,基础化工_denoised,0.7561159865964838
公用事业_denoised,传媒_denoised,0.7557624244599669
建筑装饰_denoised,公用事业_denoised,0.7545798937625942
环保_denoised,房地产_denoised,0.751352589842945
