date,美容护理,环保,石油石化,煤炭,通信,计算机,国防军工,机械设备,电力设备,建筑装饰,建筑材料,综合,银行,社会服务,商贸零售,房地产,交通运输,公用事业,医药生物,轻工制造,纺织服饰,食品饮料,家用电器,汽车,电子,有色金属,钢铁,基础化工,农林牧渔,传媒,非银金融
2014/1/2,4451.86,2328.37,1921.99,1653.59,1446.49,2442.39,967.03,945.51,3388.91,1544.68,3110.23,1633.07,2085.2,2933.52,3068.11,2459.28,1615.66,1830.18,5051.73,1641.97,1654.62,4658.96,2949.75,2842.7,1777.25,2395.99,1561.16,1820.03,1910.49,869.63,1061.48
2014/1/3,4436.66,2320.01,1909.65,1628.32,1445.33,2468.34,952.46,941.09,3391.05,1515.52,3041.16,1608.18,2051.37,2931.61,3047.1,2421.87,1600.54,1814.65,5028.63,1638.41,1633.76,4615.06,2881.53,2804.03,1787.51,2396.36,1562.54,1803.59,1896.49,883.52,1034.81
2014/1/6,4320.38,2279.28,1886.21,1563.52,1403.29,2402.11,914.79,912.47,3307.92,1464.19,2945.86,1562.43,2028.91,2845.18,2953.29,2328.24,1547.14,1771.89,4919.26,1605.0,1581.04,4500.21,2807.65,2726.38,1748.58,2344.21,1517.68,1752.0,1818.07,864.4,1028.31
2014/1/7,4364.41,2298.87,1895.22,1555.65,1410.63,2418.8,920.69,920.7,3381.63,1460.77,2943.22,1569.97,2022.18,2873.66,2966.8,2321.96,1549.88,1777.65,4970.16,1611.9,1587.11,4521.77,2813.32,2725.25,1775.57,2345.52,1508.78,1759.83,1818.74,877.56,1022.42
2014/1/8,4294.82,2324.57,1892.09,1529.75,1427.98,2466.13,934.77,923.9,3403.05,1451.29,2939.19,1564.09,2032.83,2867.88,2961.86,2300.89,1538.35,1783.92,5016.0,1624.17,1576.37,4552.21,2830.83,2724.76,1803.61,2322.49,1493.7,1755.68,1818.81,914.0,1030.18
2014/1/9,4252.87,2311.62,1908.43,1519.49,1413.33,2431.0,910.42,911.61,3349.33,1434.39,2887.11,1536.46,2032.82,2846.34,2925.71,2297.3,1526.39,1763.65,4970.14,1599.71,1548.32,4502.28,2805.72,2677.76,1761.29,2277.43,1466.99,1725.61,1792.05,910.37,1011.72
2014/1/10,4267.2,2253.27,1886.75,1515.43,1389.91,2381.72,889.41,893.51,3286.28,1408.32,2849.85,1521.18,2040.6,2836.48,2881.66,2271.06,1507.73,1741.29,4875.09,1583.93,1525.25,4516.44,2812.57,2647.3,1716.74,2266.21,1446.97,1701.71,1758.93,892.93,996.51
2014/1/13,4249.49,2206.72,1847.52,1519.8,1379.92,2364.36,885.0,891.79,3269.41,1402.03,2848.19,1511.19,2041.38,2831.13,2868.61,2241.98,1503.36,1729.2,4854.52,1581.2,1521.52,4515.33,2760.09,2638.94,1711.02,2294.37,1443.01,1685.25,1756.98,899.2,989.88
2014/1/14,4325.54,2243.66,1886.82,1526.62,1403.07,2427.92,898.72,915.29,3322.01,1412.43,2903.09,1538.96,2039.64,2894.35,2915.33,2271.7,1514.8,1752.81,4924.69,1611.72,1546.99,4563.41,2861.69,2702.72,1758.66,2300.78,1458.32,1714.21,1790.35,912.98,1000.83
2014/1/15,4205.31,2226.67,1888.92,1511.35,1411.03,2477.84,916.54,920.83,3369.92,1415.4,2937.4,1544.53,2015.82,2911.64,2936.71,2261.73,1516.66,1739.1,4995.03,1617.69,1551.83,4557.74,2885.61,2711.16,1795.21,2283.71,1445.09,1717.54,1812.76,921.9,997.38
2014/1/16,3995.16,2222.54,1890.28,1524.3,1407.0,2451.55,911.97,922.06,3370.02,1422.76,2943.11,1551.02,2006.56,2877.94,2949.61,2272.54,1516.15,1752.25,4973.52,1627.28,1564.77,4599.13,2869.37,2695.24,1783.28,2321.41,1453.7,1717.87,1803.3,907.86,1010.86
2014/1/17,3887.14,2178.19,1892.0,1476.91,1403.15,2450.74,893.4,910.53,3327.03,1404.29,2913.57,1528.87,1981.95,2837.77,2905.63,2245.57,1491.99,1726.16,4909.92,1618.15,1549.32,4508.2,2816.35,2648.15,1767.53,2273.24,1433.36,1694.8,1755.43,909.44,1004.9
