date,电力设备,基础化工,电力设备-价格,基础化工-价格,环保,环保-价格,纺织服饰,纺织服饰-价格
2014/1/3,0.000631471,-0.009032818,3388.91,1820.03,-0.003590495,2328.37,-0.012607124,1654.62
2014/1/6,-0.024514531,-0.028604062,3391.05,1803.59,-0.017555959,2320.01,-0.032269122,1633.76
2014/1/7,0.022282885,0.004469178,3307.92,1752,0.008594819,2279.28,0.003839245,1581.04
2014/1/8,0.006334223,-0.002358182,3381.63,1759.83,0.011179406,2298.87,-0.006767017,1587.11
2014/1/9,-0.015785839,-0.017127267,3403.05,1755.68,-0.005570923,2324.57,-0.017794046,1576.37
2014/1/10,-0.01882466,-0.013850175,3349.33,1725.61,-0.025242038,2311.62,-0.014900021,1548.32
2014/1/13,-0.005133464,-0.009672623,3286.28,1701.71,-0.020658865,2253.27,-0.002445501,1525.25
2014/1/14,0.01608853,0.017184394,3269.41,1685.25,0.016739777,2206.72,0.016739839,1521.52
2014/1/15,0.014421992,0.001942586,3322.01,1714.21,-0.007572449,2243.66,0.003128656,1546.99
2014/1/16,2.97E-05,0.000192135,3369.92,1717.54,-0.001854788,2226.67,0.008338542,1551.83
2014/1/17,-0.012756601,-0.013429421,3370.02,1717.87,-0.019954646,2222.54,-0.009873656,1564.77
2014/1/20,-0.009681307,-0.006755959,3327.03,1694.8,-5.97E-05,2178.19,-0.002426871,1549.32
2014/1/21,0.011636448,0.009855348,3294.82,1683.35,0.006620571,2178.06,0.01100572,1545.56
2014/1/22,0.023758235,0.024312623,3333.16,1699.94,0.027092607,2192.48,0.019403931,1562.57
2014/1/23,0.014368397,-0.000361805,3412.35,1741.27,0.008495124,2251.88,-0.001607142,1592.89
2014/1/24,0.008742178,0.009243726,3461.38,1740.64,0.011483877,2271.01,0.006640131,1590.33
2014/1/27,-0.001157049,-0.005020692,3491.64,1756.73,-0.015654589,2297.09,0.003373124,1600.89
2014/1/28,-0.001330428,-0.003032193,3487.6,1747.91,0.003104642,2261.13,0.006051211,1606.29
2014/1/29,0.00673565,0.004768709,3482.96,1742.61,0.00637524,2268.15,0.006497485,1616.01
2014/1/30,-0.007035666,-0.009903365,3506.42,1750.92,-0.010558089,2282.61,0.0029634,1626.51
2014/2/7,0.016526172,0.015355507,3481.75,1733.58,0.019167504,2258.51,0.011708238,1631.33
2014/2/10,0.049930918,0.029502329,3539.29,1760.2,0.025897124,2301.8,0.021521664,1650.43
2014/2/11,-0.000368675,0.003239282,3716.01,1812.13,0.022664425,2361.41,0.003902844,1685.95
2014/2/12,0.007252385,0.018289329,3714.64,1818,0.023822637,2414.93,0.011095815,1692.53
2014/2/13,-0.009902234,-0.013931128,3741.58,1851.25,-0.013027511,2472.46,-0.013077701,1711.31
2014/2/14,0.023625129,0.017058714,3704.53,1825.46,0.011945497,2440.25,0.023357984,1688.93
2014/2/17,0.030516475,0.013239255,3792.05,1856.6,0.01056127,2469.4,0.016408429,1728.38
2014/2/18,0.009358279,-0.003487173,3907.77,1881.18,-0.014814785,2495.48,0.005049125,1756.74
2014/2/19,-0.004895623,0.006940073,3944.34,1874.62,-0.00223306,2458.51,0.000226551,1765.61
2014/2/20,-0.020045707,-0.000656908,3925.03,1887.63,-0.025576636,2453.02,-0.010685104,1766.01
2014/2/21,-0.002503672,-0.012998373,3846.35,1886.39,0.003924226,2390.28,-0.002781689,1747.14
2014/2/24,0.004933902,-0.007025195,3836.72,1861.87,0.006180042,2399.66,0.000843722,1742.28
2014/2/25,-0.044794004,-0.036310235,3855.65,1848.79,-0.049140812,2414.49,-0.038468817,1743.75
2014/2/26,0.015718421,0.010641761,3682.94,1781.66,-0.003027214,2295.84,0.008403562,1676.67
2014/2/27,4.54E-05,-0.003859782,3740.83,1800.62,-0.014989799,2288.89,-0.016306276,1690.76
2014/2/28,0.018348035,0.005485959,3741,1793.67,0.014725581,2254.58,0.009529879,1663.19
2014/3/3,0.021414097,0.020920316,3809.64,1803.51,0.052505049,2287.78,0.026086335,1679.04
2014/3/4,-0.003507897,0.000320436,3891.22,1841.24,-0.012899207,2407.9,0.000684916,1722.84
2014/3/5,-0.007014703,-0.006933322,3877.57,1841.83,-0.010501338,2376.84,0.010539321,1724.02
2014/3/6,-0.002036168,0.003488131,3850.37,1829.06,-0.004558056,2351.88,0.001096321,1742.19
2014/3/7,0.00436171,0.002075797,3842.53,1835.44,-0.014104119,2341.16,-0.010618657,1744.1
2014/3/10,-0.044028824,-0.029517466,3859.29,1839.25,-0.021532489,2308.14,-0.035622805,1725.58
2014/3/11,-0.012750144,0.007664037,3689.37,1784.96,-0.003896495,2258.44,0.008797495,1664.11
2014/3/12,-0.00604009,-0.00616577,3642.33,1798.64,-0.008303551,2249.64,0.000881608,1678.75
2014/3/13,0.014109211,0.008223546,3620.33,1787.55,0.016764084,2230.96,0.00436845,1680.23
2014/3/14,-0.003810525,-0.002397004,3671.41,1802.25,-0.009897018,2268.36,-0.004977571,1687.57
2014/3/17,0.023844677,0.018777149,3657.42,1797.93,0.013575789,2245.91,0.018092272,1679.17
2014/3/18,0.005784283,-0.00146313,3744.63,1831.69,0.011153576,2276.4,0.002573777,1709.55
2014/3/19,-0.005865188,0.005921236,3766.29,1829.01,-0.019589102,2301.79,0.000233379,1713.95
2014/3/20,-0.033181988,-0.019452779,3744.2,1839.84,-0.025608189,2256.7,-0.028022282,1714.35
2014/3/21,0.020417353,0.018026108,3619.96,1804.05,0.012156023,2198.91,0.020296343,1666.31
2014/3/24,0.003971445,0.005689955,3693.87,1836.57,0.003765209,2225.64,0.009246352,1700.13
2014/3/25,-0.002273132,-0.00152137,3708.54,1847.02,-0.007247026,2234.02,-0.00058863,1715.85
2014/3/26,0.007761931,0.001648402,3700.11,1844.21,0.003823557,2217.83,0.006420424,1714.84
2014/3/27,-0.02623343,-0.015747733,3728.83,1847.25,-0.01954355,2226.31,-0.013141351,1725.85
2014/3/28,-0.027658971,-0.015361684,3631.01,1818.16,-0.023868426,2182.8,-0.014367327,1703.17
